ID,EpisodeID,CookID,JudgeID,Score
1,1,41,14,3
2,1,41,23,4
3,1,41,56,3
4,1,8,14,4
5,1,8,23,4
6,1,8,56,5
7,1,2,14,2
8,1,2,23,2
9,1,2,56,1
10,1,48,14,2
11,1,48,23,3
12,1,48,56,3
13,1,18,14,5
14,1,18,23,5
15,1,18,56,4
16,1,16,14,3
17,1,16,23,4
18,1,16,56,3
19,1,15,14,2
20,1,15,23,3
21,1,15,56,3
22,1,9,14,4
23,1,9,23,4
24,1,9,56,3
25,1,7,14,5
26,1,7,23,4
27,1,7,56,3
28,1,44,14,2
29,1,44,23,5
30,1,44,56,4
31,2,10,13,4
32,2,10,50,3
33,2,10,35,4
34,2,14,13,5
35,2,14,50,4
36,2,14,35,3
37,2,49,13,3
38,2,49,50,4
39,2,49,35,2
40,2,22,13,4
41,2,22,50,3
42,2,22,35,4
43,2,6,13,5
44,2,6,50,5
45,2,6,35,3
46,2,25,13,4
47,2,25,50,4
48,2,25,35,3
49,2,23,13,5
50,2,23,50,5
51,2,23,35,4
52,2,55,13,4
53,2,55,50,3
54,2,55,35,4
55,2,39,13,3
56,2,39,50,4
57,2,39,35,3
58,2,17,13,2
59,2,17,50,3
60,2,17,35,2
61,3,30,1,4
62,3,30,8,3
63,3,30,13,4
64,3,54,1,5
65,3,54,8,4
66,3,54,13,3
67,3,24,1,3
68,3,24,8,4
69,3,24,13,2
70,3,11,1,3
71,3,11,8,3
72,3,11,13,4
73,3,43,1,2
74,3,43,8,4
75,3,43,13,3
76,3,45,1,4
77,3,45,8,5
78,3,45,13,5
79,3,60,1,4
80,3,60,8,2
81,3,60,13,3
82,3,42,1,4
83,3,42,8,3
84,3,42,13,4
85,3,5,1,5
86,3,5,8,5
87,3,5,13,4
88,3,35,1,2
89,3,35,8,3
90,3,35,13,3
91,4,9,3,4
92,4,9,14,3
93,4,9,23,4
94,4,16,3,5
95,4,16,14,4
96,4,16,23,3
97,4,48,3,3
98,4,48,14,4
99,4,48,23,2
100,4,36,3,3
101,4,36,14,3
102,4,36,23,4
103,4,38,3,2
104,4,38,14,4
105,4,38,23,3
106,4,28,3,4
107,4,28,14,5
108,4,28,23,5
109,4,58,3,4
110,4,58,14,2
111,4,58,23,3
112,4,26,3,4
113,4,26,14,3
114,4,26,23,4
115,4,15,3,5
116,4,15,14,5
117,4,15,23,4
118,4,33,3,2
119,4,33,14,3
120,4,33,23,3
121,5,1,2,4
122,5,1,5,3
123,5,1,6,4
124,5,47,2,5
125,5,47,5,4
126,5,47,6,3
127,5,57,2,3
128,5,57,5,4
129,5,57,6,2
130,5,17,2,3
131,5,17,5,3
132,5,17,6,4
133,5,49,2,2
134,5,49,5,4
135,5,49,6,3
136,5,12,2,4
137,5,12,5,5
138,5,12,6,5
139,5,59,2,4
140,5,59,5,2
141,5,59,6,3
142,5,7,2,4
143,5,7,5,3
144,5,7,6,4
145,5,56,2,5
146,5,56,5,5
147,5,56,6,4
148,5,41,2,2
149,5,41,5,3
150,5,41,6,3
151,6,43,3,4
152,6,43,10,3
153,6,43,12,4
154,6,31,3,5
155,6,31,10,4
156,6,31,12,3
157,6,11,3,3
158,6,11,10,4
159,6,11,12,2
160,6,34,3,3
161,6,34,10,3
162,6,34,12,4
163,6,39,3,2
164,6,39,10,4
165,6,39,12,3
166,6,14,3,4
167,6,14,10,5
168,6,14,12,5
169,6,60,3,4
170,6,60,10,2
171,6,60,12,3
172,6,35,3,4
173,6,35,10,3
174,6,35,12,4
175,6,45,3,5
176,6,45,10,5
177,6,45,12,4
178,6,13,3,2
179,6,13,10,3
180,6,13,12,3
181,7,33,2,4
182,7,33,5,3
183,7,33,14,4
184,7,16,2,5
185,7,16,5,4
186,7,16,14,3
187,7,18,2,3
188,7,18,5,4
189,7,18,14,2
190,7,32,2,3
191,7,32,5,3
192,7,32,14,4
193,7,9,2,2
194,7,9,5,4
195,7,9,14,3
196,7,37,2,4
197,7,37,5,5
198,7,37,14,5
199,7,51,2,4
200,7,51,5,2
201,7,51,14,3
202,7,52,2,4
203,7,52,5,3
204,7,52,14,4
205,7,27,2,5
206,7,27,5,5
207,7,27,14,4
208,7,28,2,2
209,7,28,5,3
210,7,28,14,3
211,8,56,3,4
212,8,56,6,3
213,8,56,10,4
214,8,26,3,5
215,8,26,6,4
216,8,26,10,3
217,8,58,3,3
218,8,58,6,4
219,8,58,10,2
220,8,4,3,3
221,8,4,6,3
222,8,4,10,4
223,8,25,3,2
224,8,25,6,4
225,8,25,10,3
226,8,1,3,4
227,8,1,6,5
228,8,1,10,5
229,8,17,3,4
230,8,17,6,2
231,8,17,10,3
232,8,30,3,4
233,8,30,6,3
234,8,30,10,4
235,8,19,3,5
236,8,19,6,5
237,8,19,10,4
238,8,47,3,2
239,8,47,6,3
240,8,47,10,3
241,9,38,2,4
242,9,38,5,3
243,9,38,10,4
244,9,39,2,5
245,9,39,5,4
246,9,39,10,3
247,9,3,2,3
248,9,3,5,4
249,9,3,10,2
250,9,40,2,3
251,9,40,5,3
252,9,40,10,4
253,9,6,2,2
254,9,6,5,4
255,9,6,10,3
256,9,43,2,4
257,9,43,5,5
258,9,43,10,5
259,9,34,2,4
260,9,34,5,2
261,9,34,10,3
262,9,21,2,4
263,9,21,5,3
264,9,21,10,4
265,9,60,2,5
266,9,60,5,5
267,9,60,10,4
268,9,14,2,2
269,9,14,5,3
270,9,14,10,3
271,10,11,1,4
272,10,11,3,3
273,10,11,6,4
274,10,29,1,5
275,10,29,3,4
276,10,29,6,3
277,10,54,1,3
278,10,54,3,4
279,10,54,6,2
280,10,35,1,3
281,10,35,3,3
282,10,35,6,4
283,10,46,1,2
284,10,46,3,4
285,10,46,6,3
286,10,20,1,4
287,10,20,3,5
288,10,20,6,5
289,10,52,1,4
290,10,52,3,2
291,10,52,6,3
292,10,42,1,4
293,10,42,3,3
294,10,42,6,4
295,10,53,1,5
296,10,53,3,5
297,10,53,6,4
298,10,36,1,2
299,10,36,3,3
300,10,36,6,3
301,11,50,2,4
302,11,50,3,3
303,11,50,10,4
304,11,9,2,5
305,11,9,3,4
306,11,9,10,3
307,11,41,2,3
308,11,41,3,4
309,11,41,10,2
310,11,17,2,3
311,11,17,3,3
312,11,17,10,4
313,11,48,2,2
314,11,48,3,4
315,11,48,10,3
316,11,28,2,4
317,11,28,3,5
318,11,28,10,5
319,11,1,2,4
320,11,1,3,2
321,11,1,10,3
322,11,8,2,4
323,11,8,3,3
324,11,8,10,4
325,11,5,2,5
326,11,5,3,5
327,11,5,10,4
328,11,57,2,2
329,11,57,3,3
330,11,57,10,3
331,12,12,1,4
332,12,12,5,3
333,12,12,6,4
334,12,27,1,5
335,12,27,5,4
336,12,27,6,3
337,12,2,1,3
338,12,2,5,4
339,12,2,6,2
340,12,60,1,3
341,12,60,5,3
342,12,60,6,4
343,12,22,1,2
344,12,22,5,4
345,12,22,6,3
346,12,51,1,4
347,12,51,5,5
348,12,51,6,5
349,12,43,1,4
350,12,43,5,2
351,12,43,6,3
352,12,56,1,4
353,12,56,5,3
354,12,56,6,4
355,12,16,1,5
356,12,16,5,5
357,12,16,6,4
358,12,18,1,2
359,12,18,5,3
360,12,18,6,3
361,13,23,1,4
362,13,23,5,3
363,13,23,6,4
364,13,42,1,5
365,13,42,5,4
366,13,42,6,3
367,13,33,1,3
368,13,33,5,4
369,13,33,6,2
370,13,26,1,3
371,13,26,5,3
372,13,26,6,4
373,13,44,1,2
374,13,44,5,4
375,13,44,6,3
376,13,54,1,4
377,13,54,5,5
378,13,54,6,5
379,13,35,1,4
380,13,35,5,2
381,13,35,6,3
382,13,38,1,4
383,13,38,5,3
384,13,38,6,4
385,13,3,1,5
386,13,3,5,5
387,13,3,6,4
388,13,7,1,2
389,13,7,5,3
390,13,7,6,3
391,14,21,2,4
392,14,21,3,3
393,14,21,10,4
394,14,45,2,5
395,14,45,3,4
396,14,45,10,3
397,14,19,2,3
398,14,19,3,4
399,14,19,10,2
400,14,36,2,3
401,14,36,3,3
402,14,36,10,4
403,14,9,2,2
